Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported direct emissions from Local Distribution Companies,Carbon emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Does the facility employ continuous emissions monitoring? 
1008026,110071160130,Ameren Illinois,IL,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69045,-89.5924,76659.696,1102.6,75556.5,0.596,N
1004034,110071160131,Ameren Missouri,MO,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620667,-90.211086,14890.65,17.9,14872.75,,N
1007872,110071161198,Atlanta Gas Light Company,GA,Atlanta,GA,30309,Ten Peachtree Place,FULTON COUNTY,33.797114,-84.380489,200092.9,11793.4,188299.5,,N
1004794,110070081906,Atmos Energy Corporation - Colorado,CO,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,16014.8,19.3,15995.5,,N
1001388,110071162238,Atmos Energy Corporation - Kansas,KS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,23302.85,28.1,23274.75,,N
1001389,110043973153,Atmos Energy Corporation - Kentucky,KY,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,24439.65,29.4,24410.25,,N
1001390,110043973153,Atmos Energy Corporation - Louisiana,LA,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,50292,60.5,50231.5,,N
1001391,110071159496,Atmos Energy Corporation - Mississippi,MS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,56267.95,67.7,56200.25,,N
1006887,110043973153,Atmos Energy Corporation - Tennessee,TN,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,17832.75,21.5,17811.25,,N
1001398,110071159497,Atmos Energy Corporation - Texas,TX,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,512875.75,617.5,512258.25,,N
1001402,110071159498,Atmos Energy Corporation- Virginia,VA,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,2654.45,3.2,2651.25,,N
1003050,110071161359,Avista Corporation-WA,WA,Spokane,WA,99220,1411 E. Mission,SPOKANE COUNTY,47.66,-117.39,16099.65,19.4,16080.25,,N
1005477,110071159904,Baltimore Gas & Electric Company,MD,Baltimore,MD,21230,1699 Leadenhall Street,BALTIMORE CITY,39.271299,-76.618519,182992.948,958.9,182033.75,0.298,N
1006762,110071160639,Batesville Water & Gas Utility,IN,Batesville,IN,47006,7 N. Eastern Ave.,RIPLEY COUNTY,39.298528,-85.214528,384.25,0.5,383.75,,N
1005329,110071159223,Benton Gas System,KY,Benton,KY,42025,201 Main Street,MARSHALL COUNTY,36.85812,-88.35076,1399.2,1.7,1397.5,,N
1006528,110071161694,"Black Hills Colorado Gas, Inc. dba Black Hills Energy",CO,Fountain,CO,80817,7060 Alegre Street,EL PASO COUNTY,38.72966,-104.72517,33943.65,40.9,33902.75,,N
1006604,110043815057,Black Hills Energy Arkansas LLC.,AR,Fayetteville,AR,72703,655 E. Millsap Road Suite 104,JEFFERSON COUNTY,39.722098,-105.135202,173850.8,209.3,173641.5,,N
1006387,110071161364,"Black Hills Nebraska Gas, LLC. dba Black Hills Energy",NE,Lincoln,NE,68512,1600 Windhoek Drive,LANCASTER COUNTY,40.7587,-96.69715,55155.9,66.4,55089.5,,N
1002481,110071161353,Boston Gas Company,MA,Waltham,MA,2451,40 Sylvan Road,MIDDLESEX COUNTY,42.397671,-71.270903,367635.6,442.6,367193,,N
1004115,110071160443,CON EDISON - NATURAL GAS DELIVERY SYSTEM,NY,New York,NY,10003,"4 Irving Place, Rm 1634",NEW YORK COUNTY,40.734108,-73.98868,200737.948,899.4,199838.25,0.298,N
1004450,,CPS Energy Natural Gas System,TX,San Antonio,TX,78205,145 Navarro,,29.42243,-98.49045,29165.85,35.1,29130.75,,N
1011331,,Cairo Public Utility,IL,Cairo,IL,62914,1100 Commercial Ave,,37.00249,-89.16794,599.45,0.7,598.75,,N
1006497,110071161161,Cascade Natural Gas Coporation - Washington,WA,Kennewick,WA,99336,8113 W Grandridge Blvd,BENTON COUNTY,46.21929,-119.22946,24418.248,674.7,23743.25,0.298,N
1007941,110071160499,Cedar Falls Municipal Gas Utility,IA,Cedar Falls,IA,50613,1 Utility Parkway,BLACK HAWK COUNTY,42.52737,-92.44079,1137.4,1.4,1136,,N
1004047,110071162426,CenterPoint Energy Arkla (Louisiana),LA,Houston,TX,77002,1111 Louisiana,HARRIS COUNTY,29.75761,-95.36826,15914.7,19.2,15895.5,,N
1004090,110071162538,CenterPoint Energy Arkla (Texas),TX,Houston,TX,77002,1111 Louisiana,HARRIS COUNTY,29.75761,-95.36826,1638,2,1636,,N
1004198,110071160441,CenterPoint Energy Entex (Louisiana),LA,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,14071.15,16.9,14054.25,,N
1004049,110071159240,CenterPoint Energy Entex (Mississippi),MS,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,19723.45,23.7,19699.75,,N
1005925,110071162239,CenterPoint Energy Entex (Texas),TX,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,166452.4,200.4,166252,,N
1004086,110071160439,CenterPoint Energy Minnesota Gas,MN,Minneapolis,MN,55459,"800 LaSalle Ave, Floor 14, PO Box 59038",HENNEPIN COUNTY,44.97619,-93.27482,67438.2,81.2,67357,,N
1000011,110000807379,Central Hudson Gas and Electric Corporation,NY,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,17236.4,142.4,17094,,N
1007572,110071160090,Chattanoga Gas Company,TN,Chattanooga,TN,37421,2207 Olan Mills Drive,HAMILTON COUNTY,35.05026,-85.18439,9299.95,11.2,9288.75,,N
1005550,110071161179,Chesapeake Utilities - DE Division,DE,Dover,DE,19901,500 Energy Ln Suite 100,KENT COUNTY,39.155559,-75.528836,5994.95,7.2,5987.75,,N
1007448,110071161180,Chesapeake Utilities - MD Division,MD,Salisbury,MD,21804,32145 Beaver Run Dr,WICOMICO COUNTY,38.37742,-75.49867,1667.75,2,1665.75,,N
1003491,110071159290,City Utilities Natural Gas Distribution System,MO,SPRINGFIELD,MO,65802,301 E. CENTRAL,GREENE COUNTY,37.21738,-93.29036,6330.05,139.8,6190.25,,N
1008498,110071162116,City of Chanute - Utility Complex,KS,Chanute,KS,66720,1002 East 14th Street,NEOSHO COUNTY,37.690348,-95.401344,2068.5,2.5,2066,,N
1004063,110071162224,City of Charlottesville,VA,Charlottesville,VA,22902,605 East Main St,CHARLOTTESVILLE CITY,38.0296,-78.47772,1589.3,1.8,1587.5,,N
1005451,110071159444,City of Covington,TN,Covington,TN,38019,200 W. Washington Ave,TIPTON COUNTY,35.56296,-89.64792,360,0.5,359.5,,N
1010955,,City of Deming,NM,Deming,NM,88030,309 South Gold Avenue,,32.266538,-107.758404,0,0,,,N
1010159,,City of Lexington,NC,Lexington,NC,27292,28 West Center Street,,35.7352485,-80.2321313,2149.5,2.5,2147,,N
1008098,110071159426,City of Mesa,AZ,Mesa,AZ,85211,640 N. Mesa Drive,MARICOPA COUNTY,33.418052,-111.831391,6777.45,8.2,6769.25,,N
1004214,110071160001,City of Perryville,MO,Perryville,MO,63775,215 N West St,PERRY COUNTY,37.72742,-89.86481,544.95,0.7,544.25,,N
1007011,110071159281,City of Rensselaer Gas Utility,IN,Rensselaer,IN,47978,706 N. Cullen,JASPER COUNTY,40.94284,-87.15426,409.75,0.5,409.25,,N
1002273,110071161342,"City of Richmond - DPU, Natural Gas LDC",VA,Richmond,VA,23114,730 East Broad Street,CHESTERFIELD COUNTY,37.489045,-77.665066,25527.2,30.7,25496.5,,N
1000054,110071160313,City of Tallahassee Natural Gas Utility,FL,Tallahassee,FL,32304,2602 Jackson Bluff Road,LEON COUNTY,30.438668,-84.332457,4298.95,5.2,4293.75,,N
1004154,110071160979,"City of Union, South Carolina",SC,Union,SC,29379,101 Sharpe Avenue,UNION COUNTY,34.71568,-81.62514,1803.45,2.2,1801.25,,N
1005771,,Clarke-Mobile Counties Gas District,AL,Jackson,AL,36545,2003 College Avenue,,31.530954,-87.891408,1982.15,2.4,1979.75,,N
1007361,110071161925,Columbia Gas of Kentucky,KY,Merrillville,IN,46410,801 East 86th Avenue,FAYETTE COUNTY,38.08005,-84.53753,32589.2,39.2,32550,,N
1003942,110071161039,Columbia Gas of Ohio,OH,Merrillville,IN,46410,801 East 86th Avenue,FRANKLIN COUNTY,39.95745,-83.00355,236940.05,285.3,236654.75,,N
1003839,110063990953,Columbia Gas of Pennsylvania,PA,Merrillville,IN,46410,801 East 86th Avenue,WASHINGTON COUNTY,40.28588,-80.1788,123860.6,149.1,123711.5,,N
1007304,110071161314,Columbia Gas of Virginia,VA,Merrillville,IN,46410,801 East 86th Avenue,CHESTERFIELD COUNTY,37.36375,-77.39516,32297.65,38.9,32258.75,,N
1007569,110071160642,Connecticut Natural Gas Company,CT,East Hartford,CT,6108,76 Meadow Street,HARTFORD COUNTY,41.76135,-72.65664,46244.35,50.6,46193.75,,N
1004527,110071160593,Consumers Energy Company,MI,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.315121,-84.375233,216664.188,3296.4,213366,1.788,N
1006503,110071160636,DTE Energy Michcon LDC,MI,Detroit,MI,48226,One Energy Plaza,WAYNE COUNTY,42.328245,-83.049562,390918.898,509.6,390409,0.298,N
1003285,110071159472,Delmarva Power & Light - Gas Delivery,DE,Wilmington,DE,19801,"630 Martin Luther King Jr., Blvd.",NEW CASTLE COUNTY,39.740363,-75.558513,23431.2,28.2,23403,,N
1004703,110071162376,Dominion Energy Ohio - The East Ohio Gas Co (Dist) (Ohio),OH,CLEVELAND,OH,44103,1201 EAST 55TH STREET,CUYAHOGA COUNTY,41.52706,-81.65199,573875,691,573184,,N
1004977,110071161534,Dominion Energy Questar Gas Company (Dist) (Utah),UT,SALT LAKE CITY,UT,84101,1140 WEST 200 SOUTH,SALT LAKE COUNTY,40.76498,-111.92547,96543.546,1267.2,95275.75,0.596,N
1006379,110071162373,Dominion Energy Questar Gas Company (Dist) (Wyoming),WY,SALT LAKE CITY,UT,84101,1140 WEST 200 SOUTH,SALT LAKE COUNTY,40.76498,-111.92547,3003.6,3.6,3000,,N
1004706,110043815574,Dominion Hope Gas West Virginia,WV,Clarksburg,WV,26301,48 Columbia Blvd.,HARRISON COUNTY,39.28413,-80.299985,66293.8,86.8,66207,,N
1001738,110071159544,Duke Energy Kentucky Gas Operation,KY,Cincinnati,OH,45201,139 East Fourth St.,HAMILTON COUNTY,39.106635,-84.536323,6451.05,7.8,6443.25,,N
1002687,110043808591,Duke Energy Ohio Gas Operation,OH,Cincinnati,OH,45201,139 East Fourth St.,HAMILTON COUNTY,39.10036,-84.50994,28303.35,34.1,28269.25,,N
1004054,110043784517,Elizabethtown Gas,NJ,Berkeley Heights,NJ,7922,300 Connell Drive,UNION COUNTY,40.66158,-74.417,45326.698,493.4,44833,0.298,N
1007828,110071161490,Elk River Public Utility District,TN,Tullahoma,TN,37388,217 South Jackson Street,COFFEE COUNTY,35.360512,-86.210315,3331.6,4.1,3327.5,,N
1004179,110071160410,Elkton Gas Company,MD,Elkton,MD,21921,"125 East High Street, Suite B",CECIL COUNTY,39.60977,-75.82896,539.35,0.6,538.75,,N
1001088,110071159558,Energy Services of Pensacola,FL,Pensacola,FL,32514,1625 Atwood Dr,ESCAMBIA COUNTY,30.50515,-87.22575,35470.45,42.7,35427.75,,N
1005572,110071159850,"Entergy Louisiana, LLC Gas Business",LA,Baton Rouge,LA,70805,5755 Choctaw Drive,EAST BATON ROUGE PARISH,30.47085,-91.13304,10133.1,12.1,10121,,N
1005240,110071161294,"Entergy New Orleans, LLC Gas Business",LA,New Orleans,LA,70119,3700 Tulane Ave,ORLEANS PARISH,29.979811,-90.079349,15727.65,18.9,15708.75,,N
1003840,110071162208,Eversource Gas Mass,MA,Westwood,MA,2090,247 Station Dr,WORCESTER COUNTY,42.283831,-71.583763,97639.5,201,97438.5,,N
1005285,110071160149,Fayetteville Public Utilities,TN,Fayetteville,TN,37334,408 College Street West,LINCOLN COUNTY,35.314962,-86.636076,1579.4,1.9,1577.5,,N
1004229,110071160522,Florida City Gas,FL,Rockledge,FL,32955,4180 South US Highway 1,BREVARD COUNTY,27.952165,-80.536618,19502.5,23.5,19479,,N
